[260, 100, 10, 67600, 10000, 100, 17576000, 1000000, 1000];0
[235, 110, 6, 55225, 12100, 36, 12977875, 1331000, 216];0
[210, 116, 2, 44100, 13456, 4, 9261000, 1560896, 8];0
[185, 118, -2, 34225, 13924, 4, 6331625, 1643032, -8];0
[160, 116, -6, 25600, 13456, 36, 4096000, 1560896, -216];0
[135, 110, -10, 18225, 12100, 100, 2460375, 1331000, -1000];0
[110, 100, -14, 12100, 10000, 196, 1331000, 1000000, -2744];0
[85, 86, -18, 7225, 7396, 324, 614125, 636056, -5832];0
[60, 68, -22, 3600, 4624, 484, 216000, 314432, -10648];0
[35, 46, -26, 1225, 2116, 676, 42875, 97336, -17576];1
[10, 60, 10, 100, 3600, 100, 1000, 216000, 1000];0
[-15, 70, 6, 225, 4900, 36, -3375, 343000, 216];0
[-40, 76, 2, 1600, 5776, 4, -64000, 438976, 8];0
[-65, 78, -2, 4225, 6084, 4, -274625, 474552, -8];0
[-90, 76, -6, 8100, 5776, 36, -729000, 438976, -216];0
[-115, 70, -10, 13225, 4900, 100, -1520875, 343000, -1000];0
[460, 149, -14, 211600, 22201, 196, 97336000, 3307949, -2744];0
[435, 135, -18, 189225, 18225, 324, 82312875, 2460375, -5832];0
[410, 117, -22, 168100, 13689, 484, 68921000, 1601613, -10648];1
[385, 129, 8, 148225, 16641, 64, 57066625, 2146689, 512];0
[360, 137, 4, 129600, 18769, 16, 46656000, 2571353, 64];0
[335, 141, 0, 112225, 19881, 0, 37595375, 2803221, 0];0
[310, 141, -4, 96100, 19881, 16, 29791000, 2803221, -64];0
[285, 137, -8, 81225, 18769, 64, 23149125, 2571353, -512];0
[260, 129, -12, 67600, 16641, 144, 17576000, 2146689, -1728];0
[235, 117, -16, 55225, 13689, 256, 12977875, 1601613, -4096];0
[210, 101, -20, 44100, 10201, 400, 9261000, 1030301, -8000];0
[185, 81, -24, 34225, 6561, 576, 6331625, 531441, -13824];0
[160, 57, -28, 25600, 3249, 784, 4096000, 185193, -21952];1
[135, 74, 13, 18225, 5476, 169, 2460375, 405224, 2197];0
[110, 87, 9, 12100, 7569, 81, 1331000, 658503, 729];0
[85, 96, 5, 7225, 9216, 25, 614125, 884736, 125];0
[60, 101, 1, 3600, 10201, 1, 216000, 1030301, 1];0
[35, 102, -3, 1225, 10404, 9, 42875, 1061208, -27];0
[10, 99, -7, 100, 9801, 49, 1000, 970299, -343];0
[-15, 92, -11, 225, 8464, 121, -3375, 778688, -1331];0
[-40, 81, -15, 1600, 6561, 225, -64000, 531441, -3375];1
[-65, 91, 6, 4225, 8281, 36, -274625, 753571, 216];0
[-90, 97, 2, 8100, 9409, 4, -729000, 912673, 8];0
[-115, 99, -2, 13225, 9801, 4, -1520875, 970299, -8];0
[460, 36, -6, 211600, 1296, 36, 97336000, 46656, -216];0
[435, 30, -10, 189225, 900, 100, 82312875, 27000, -1000];0
[410, 20, -14, 168100, 400, 196, 68921000, 8000, -2744];1
[385, 33, 9, 148225, 1089, 81, 57066625, 35937, 729];0
[360, 42, 5, 129600, 1764, 25, 46656000, 74088, 125];0
[335, 47, 1, 112225, 2209, 1, 37595375, 103823, 1];0
[310, 48, -3, 96100, 2304, 9, 29791000, 110592, -27];0
[285, 45, -7, 81225, 2025, 49, 23149125, 91125, -343];0
[260, 38, -11, 67600, 1444, 121, 17576000, 54872, -1331];1
[235, 53, 11, 55225, 2809, 121, 12977875, 148877, 1331];0
[210, 64, 7, 44100, 4096, 49, 9261000, 262144, 343];0
[185, 71, 3, 34225, 5041, 9, 6331625, 357911, 27];0
[160, 74, -1, 25600, 5476, 1, 4096000, 405224, -1];0
[135, 73, -5, 18225, 5329, 25, 2460375, 389017, -125];0
[110, 68, -9, 12100, 4624, 81, 1331000, 314432, -729];0
[85, 59, -13, 7225, 3481, 169, 614125, 205379, -2197];0
[60, 46, -17, 3600, 2116, 289, 216000, 97336, -4913];0
[35, 29, -21, 1225, 841, 441, 42875, 24389, -9261];0
[10, 8, -25, 100, 64, 625, 1000, 512, -15625];1
[-15, 23, 11, 225, 529, 121, -3375, 12167, 1331];0
[-40, 34, 7, 1600, 1156, 49, -64000, 39304, 343];0
[-65, 41, 3, 4225, 1681, 9, -274625, 68921, 27];0
[-90, 44, -1, 8100, 1936, 1, -729000, 85184, -1];0
[-115, 43, -5, 13225, 1849, 25, -1520875, 79507, -125];0
[460, -14, -9, 211600, 196, 81, 97336000, -2744, -729];0
[435, -23, -13, 189225, 529, 169, 82312875, -12167, -2197];0
[410, -36, -17, 168100, 1296, 289, 68921000, -46656, -4913];1
[385, -18, 14, 148225, 324, 196, 57066625, -5832, 2744];0
[360, -4, 10, 129600, 16, 100, 46656000, -64, 1000];1
[335, 7, 7, 112225, 49, 49, 37595375, 343, 343];0
[310, 14, 3, 96100, 196, 9, 29791000, 2744, 27];0
[285, 17, -1, 81225, 289, 1, 23149125, 4913, -1];0
[260, 16, -5, 67600, 256, 25, 17576000, 4096, -125];0
[235, 11, -9, 55225, 121, 81, 12977875, 1331, -729];1
[210, 27, 12, 44100, 729, 144, 9261000, 19683, 1728];0
[185, 39, 8, 34225, 1521, 64, 6331625, 59319, 512];0
[160, 47, 4, 25600, 2209, 16, 4096000, 103823, 64];0
[135, 51, 0, 18225, 2601, 0, 2460375, 132651, 0];0
[110, 51, -4, 12100, 2601, 16, 1331000, 132651, -64];0
[85, 47, -8, 7225, 2209, 64, 614125, 103823, -512];0
[60, 39, -12, 3600, 1521, 144, 216000, 59319, -1728];0
[35, 27, -16, 1225, 729, 256, 42875, 19683, -4096];0
[10, 11, -20, 100, 121, 400, 1000, 1331, -8000];0
[-15, -9, -24, 225, 81, 576, -3375, -729, -13824];1
[-40, 8, 13, 1600, 64, 169, -64000, 512, 2197];0
[-65, 21, 9, 4225, 441, 81, -274625, 9261, 729];0
[-90, 30, 5, 8100, 900, 25, -729000, 27000, 125];0
[-115, 35, 1, 13225, 1225, 1, -1520875, 42875, 1];0
[460, 76, -3, 211600, 5776, 9, 97336000, 438976, -27];0
[435, 73, -7, 189225, 5329, 49, 82312875, 389017, -343];0
[410, 66, -11, 168100, 4356, 121, 68921000, 287496, -1331];0
[385, 55, -15, 148225, 3025, 225, 57066625, 166375, -3375];0
[360, 40, -19, 129600, 1600, 361, 46656000, 64000, -6859];1
[335, 53, 9, 112225, 2809, 81, 37595375, 148877, 729];0
[310, 62, 5, 96100, 3844, 25, 29791000, 238328, 125];0
[285, 67, 1, 81225, 4489, 1, 23149125, 300763, 1];0
[260, 68, -3, 67600, 4624, 9, 17576000, 314432, -27];0
[235, 65, -7, 55225, 4225, 49, 12977875, 274625, -343];0
[210, 58, -11, 44100, 3364, 121, 9261000, 195112, -1331];0
[185, 47, -15, 34225, 2209, 225, 6331625, 103823, -3375];1
[160, 58, 7, 25600, 3364, 49, 4096000, 195112, 343];0
[135, 65, 3, 18225, 4225, 9, 2460375, 274625, 27];0
[110, 68, -1, 12100, 4624, 1, 1331000, 314432, -1];0
[85, 67, -5, 7225, 4489, 25, 614125, 300763, -125];0
[60, 62, -9, 3600, 3844, 81, 216000, 238328, -729];0
[35, 53, -13, 1225, 2809, 169, 42875, 148877, -2197];0
[10, 40, -17, 100, 1600, 289, 1000, 64000, -4913];0
[-15, 23, -21, 225, 529, 441, -3375, 12167, -9261];1
[-40, 43, 16, 1600, 1849, 256, -64000, 79507, 4096];0
[-65, 59, 12, 4225, 3481, 144, -274625, 205379, 1728];0
[-90, 71, 8, 8100, 5041, 64, -729000, 357911, 512];0
[-115, 79, 4, 13225, 6241, 16, -1520875, 493039, 64];0
[460, 155, 0, 211600, 24025, 0, 97336000, 3723875, 0];0
[435, 155, -4, 189225, 24025, 16, 82312875, 3723875, -64];0
[410, 151, -8, 168100, 22801, 64, 68921000, 3442951, -512];0
[385, 143, -12, 148225, 20449, 144, 57066625, 2924207, -1728];0
[360, 131, -16, 129600, 17161, 256, 46656000, 2248091, -4096];0
[335, 115, -20, 112225, 13225, 400, 37595375, 1520875, -8000];0
[310, 95, -24, 96100, 9025, 576, 29791000, 857375, -13824];0
[285, 71, -28, 81225, 5041, 784, 23149125, 357911, -21952];1
[260, 87, 12, 67600, 7569, 144, 17576000, 658503, 1728];0
[235, 99, 8, 55225, 9801, 64, 12977875, 970299, 512];0
[210, 107, 4, 44100, 11449, 16, 9261000, 1225043, 64];0
[185, 111, 0, 34225, 12321, 0, 6331625, 1367631, 0];0
[160, 111, -4, 25600, 12321, 16, 4096000, 1367631, -64];0
[135, 107, -8, 18225, 11449, 64, 2460375, 1225043, -512];0
[110, 99, -12, 12100, 9801, 144, 1331000, 970299, -1728];0
[85, 87, -16, 7225, 7569, 256, 614125, 658503, -4096];0
[60, 71, -20, 3600, 5041, 400, 216000, 357911, -8000];1
[35, 87, 12, 1225, 7569, 144, 42875, 658503, 1728];0
[10, 99, 8, 100, 9801, 64, 1000, 970299, 512];0
[-15, 107, 4, 225, 11449, 16, -3375, 1225043, 64];0
[-40, 111, 0, 1600, 12321, 0, -64000, 1367631, 0];0
[-65, 111, -4, 4225, 12321, 16, -274625, 1367631, -64];0
[-90, 107, -8, 8100, 11449, 64, -729000, 1225043, -512];0
[-115, 99, -12, 13225, 9801, 144, -1520875, 970299, -1728];0
[460, 102, -16, 211600, 10404, 256, 97336000, 1061208, -4096];1
[435, 112, 6, 189225, 12544, 36, 82312875, 1404928, 216];0
[410, 118, 2, 168100, 13924, 4, 68921000, 1643032, 8];0
[385, 120, -2, 148225, 14400, 4, 57066625, 1728000, -8];0
[360, 118, -6, 129600, 13924, 36, 46656000, 1643032, -216];0
[335, 112, -10, 112225, 12544, 100, 37595375, 1404928, -1000];0
[310, 102, -14, 96100, 10404, 196, 29791000, 1061208, -2744];0
[285, 88, -18, 81225, 7744, 324, 23149125, 681472, -5832];0
[260, 70, -22, 67600, 4900, 484, 17576000, 343000, -10648];0
[235, 48, -26, 55225, 2304, 676, 12977875, 110592, -17576];1
[210, 66, 14, 44100, 4356, 196, 9261000, 287496, 2744];0
